Plant state,Plant name,Plant Id,Balancing Authority Name,Balancing Authority Code,PCA Generation (MWh),Latitude,Longitude,Plant primary fuel,Plant primary fuel code,Net generation (MWh),CO2-e Emission (tons),Water intensity (m3/MWh),Carbon intensity (Tons/MWh),Generation Ratio of Power plant,Water Consumption (m3),Subbasin,HUC8,HUC8 ID
CA,Double C Generation Limited Partnership,50493,California Independent System Operator,CISO,167909560,35.5005,-119.046,NG,GAS,26465,16027,0.80,0.61,0.0002,21093,Tulare-Buena Vista Lakes,18030012,18030012
CA,Drews Generating Facility,55935,California Independent System Operator,CISO,167909560,34.0609,-117.3532,NG,GAS,777,976,0.80,1.26,0.0000,619,Santa Ana,18070203,18070203
CA,Drop 1,585,Imperial Irrigation District,IID,5728178,32.711611,-114.942666,WAT,HYDRO,1664,0,0.00,0.00,0.0003,0,Salton Sea,18100204,18100204
CA,Drop 2 (CA),385,Imperial Irrigation District,IID,5728178,32.705435,-115.030975,WAT,HYDRO,43434,0,0.00,0.00,0.0076,0,Salton Sea,18100204,18100204
CA,Drop 3 (CA),386,Imperial Irrigation District,IID,5728178,32.705428,-115.126103,WAT,HYDRO,41904,0,0.00,0.00,0.0073,0,Salton Sea,18100204,18100204
CA,Drop 4,387,Imperial Irrigation District,IID,5728178,32.705341,-115.219067,WAT,HYDRO,3283,0,0.00,0.00,0.0006,0,Salton Sea,18100204,18100204
CA,Drop 5,314,Imperial Irrigation District,IID,5728178,32.673097,-115.392026,WAT,HYDRO,11264,0,0.00,0.00,0.0020,0,Salton Sea,18100204,18100204
CA,Drum 1,235,California Independent System Operator,CISO,167909560,39.256873,-120.767437,WAT,HYDRO,85904,0,0.96,0.00,0.0005,82471,Upper Bear,18020126,18020126
CA,Drum 2,236,California Independent System Operator,CISO,167909560,39.257388,-120.767046,WAT,HYDRO,231243,0,0.18,0.00,0.0014,41339,Upper Bear,18020126,18020126
CA,DSH (CA) - Coalinga State Hospital,59746,California Independent System Operator,CISO,167909560,36.13726,-120.218453,SUN,SOLAR,4901,0,0.01,0.00,0.0000,37,Tulare-Buena Vista Lakes,18030012,18030012
CA,DTE Stockton,54238,California Independent System Operator,CISO,167909560,37.943633,-121.330433,WDS,BIOMASS,371195,14666,1.94,0.04,0.0022,719210,San Joaquin Delta,18040003,18040003
CA,Dulles,60182,California Independent System Operator,CISO,167909560,34.030119,-117.517753,SUN,SOLAR,3202,0,0.01,0.00,0.0000,24,Santa Ana,18070203,18070203
CA,Dutch Flat,237,California Independent System Operator,CISO,167909560,39.216985,-120.835587,WAT,HYDRO,69559,0,0.54,0.00,0.0004,37590,Upper Bear,18020126,18020126
CA,Dutch Flat 2,413,California Independent System Operator,CISO,167909560,39.2184,-120.8352,WAT,HYDRO,68557,0,1.60,0.00,0.0004,109505,Upper Bear,18020126,18020126
CA,Dutch Wind Energy,57301,California Independent System Operator,CISO,167909560,33.8942,-116.5603,WND,WIND,20903,0,0.00,0.00,0.0001,79,Whitewater River,18100201,18100201
CA,Dynegy Oakland Power Plant,6211,California Independent System Operator,CISO,167909560,37.79675,-122.28185,JF,OIL,3852,5237,2.06,1.36,0.0000,7945,San Francisco Bay,18050004,18050004
CA,E F Oxnard Energy Facility,10776,California Independent System Operator,CISO,167909560,34.1958,-119.1664,NG,GAS,157062,69505,0.80,0.44,0.0009,125183,Calleguas,18070103,18070103
CA,E&B Resources,60446,California Independent System Operator,CISO,167909560,35.534584,-119.060029,SUN,SOLAR,2292,0,0.01,0.00,0.0000,17,Upper Poso,18030004,18030004
CA,EAFB - North Base,59132,California Independent System Operator,CISO,167909560,34.9325,-117.907222,SUN,SOLAR,2535,0,0.01,0.00,0.0000,19,Antelope-Fremont Valleys,18090206,18090206
CA,EAFB - South Base,59133,California Independent System Operator,CISO,167909560,34.917222,-117.900278,SUN,SOLAR,2453,0,0.01,0.00,0.0000,19,Antelope-Fremont Valleys,18090206,18090206
CA,East Highline,586,Imperial Irrigation District,IID,5728178,32.699451,-115.28245,WAT,HYDRO,4047,0,0.00,0.00,0.0007,0,Salton Sea,18100204,18100204
CA,East Portal Generator,50375,California Independent System Operator,CISO,167909560,34.2619,-118.6242,WAT,HYDRO,5559,0,0.00,0.00,0.0000,0,Los Angeles,18070105,18070105
CA,East Winds Project,50820,California Independent System Operator,CISO,167909560,33.890913,-116.541515,WND,WIND,7425,0,0.00,0.00,0.0000,28,Whitewater River,18100201,18100201
CA,EDF Renewable Windfarm V Inc,54453,California Independent System Operator,CISO,167909560,38.1167,-121.8333,WND,WIND,3484,0,0.00,0.00,0.0000,13,Cache Slough-Sacramento River,18020163,18020163
CA,Edom Hills Project 1 LLC,50553,California Independent System Operator,CISO,167909560,33.881667,-116.460278,WND,WIND,37618,0,0.00,0.00,0.0002,143,Whitewater River,18100201,18100201
CA,Edward C Hyatt,437,California Independent System Operator,CISO,167909560,39.542985,-121.492188,WAT,HYDRO,1291387,0,0.00,0.00,0.0077,0,Honcut Creek-Lower Feather River,18020159,18020159
CA,Edwards Air Force Base,58076,California Independent System Operator,CISO,167909560,34.9077,-117.9206,SUN,SOLAR,2240,0,0.01,0.00,0.0000,17,Antelope-Fremont Valleys,18090206,18090206
CA,El Cajon Energy Center,57001,California Independent System Operator,CISO,167909560,32.796106,-116.972073,NG,GAS,16736,11171,0.80,0.67,0.0001,13339,San Diego,18070304,18070304
CA,El Centro,389,Imperial Irrigation District,IID,5728178,32.802222,-115.54,NG,GAS,750463,358967,2.15,0.48,0.1310,1613496,Salton Sea,18100204,18100204
CA,El Dorado,238,California Independent System Operator,CISO,167909560,38.793574,-120.619152,WAT,HYDRO,59185,0,0.00,0.00,0.0004,0,South Fork American,18020129,18020129
CA,El Nido Facility,56707,California Independent System Operator,CISO,167909560,37.1867,-120.4903,WDS,BIOMASS,63343,2699,1.94,0.04,0.0004,122730,Middle San Joaquin-Lower Chowchilla,18040001,18040001
CA,El Segundo,330,California Independent System Operator,CISO,167909560,33.910556,-118.425,NG,GAS,1054778,535286,0.80,0.51,0.0063,840686,Santa Monica Bay,18070104,18070104
CA,El Segundo Cogen,10213,California Independent System Operator,CISO,167909560,33.9058,-118.4031,NG,GAS,1265325,782421,0.80,0.62,0.0075,1008497,Santa Monica Bay,18070104,18070104
CA,Electra,239,California Independent System Operator,CISO,167909560,38.330985,-120.669901,WAT,HYDRO,316535,0,0.01,0.00,0.0019,4304,Upper Mokelumne,18040012,18040012
CA,Elevation Solar C,59964,California Independent System Operator,CISO,167909560,34.730263,-118.30425,SUN,SOLAR,115937,0,0.01,0.00,0.0007,881,Antelope-Fremont Valleys,18090206,18090206
CA,Elk Hills Power,55400,California Independent System Operator,CISO,167909560,35.280318,-119.470707,NG,GAS,3797551,1267356,0.70,0.33,0.0226,2641951,Tulare-Buena Vista Lakes,18030012,18030012
CA,Ellwood,8076,California Independent System Operator,CISO,167909560,34.431419,-119.900055,NG,GAS,6212,5251,0.80,0.85,0.0000,4951,Santa Barbara Coastal,18060013,18060013
CA,Elmore Company,10634,Imperial Irrigation District,IID,5728178,33.1777,-115.6033,GEO,GEOTHERMAL,308650,24744,2.64,0.08,0.0539,814836,Salton Sea,18100204,18100204
CA,Encina Water Pollution Control,10026,California Independent System Operator,CISO,167909560,33.1165,-117.3215,OBG,BIOMASS,14988,706,1.94,0.05,0.0001,29040,San Luis Rey-Escondido,18070303,18070303
CA,Energy Center,58168,California Independent System Operator,CISO,167909560,34.063056,-117.163889,NG,GAS,2915,1620,0.80,0.56,0.0000,2323,Santa Ana,18070203,18070203
CA,Enerparc CA1 LLC,59122,California Independent System Operator,CISO,167909560,36.831667,-121.404167,SUN,SOLAR,3664,0,0.01,0.00,0.0000,28,Pajaro,18060002,18060002
CA,"Enerparc CA2, LLC",59978,PacifiCorp - West,PACW,10882398,39.69898,-122.175583,SUN,SOLAR,3448,0,0.01,0.00,0.0003,26,Sacramento-Stone Corral,18020104,18020104
CA,Equilon Los Angeles Refining,50530,Los Angeles Department of Water and Power,LDWP,22074071,33.791667,-118.234722,PRG,OTHF,383820,127229,1.61,0.33,0.0174,617951,Santa Monica Bay,18070104,18070104
CA,Equinix San Jose,60223,California Independent System Operator,CISO,167909560,37.241713,-121.781363,NG,GAS,7872,0,0.80,0.00,0.0000,6274,Coyote,18050003,18050003
CA,"Escondido Energy Center, LLC",55538,California Independent System Operator,CISO,167909560,33.1261,-117.1172,NG,GAS,25261,15784,0.80,0.62,0.0002,20134,San Luis Rey-Escondido,18070303,18070303
CA,Etiwanda,745,California Independent System Operator,CISO,167909560,34.10345,-117.5257,WAT,HYDRO,56038,0,0.00,0.00,0.0003,0,Santa Ana,18070203,18070203
CA,Exchequer,409,California Independent System Operator,CISO,167909560,37.584345,-120.26859,WAT,HYDRO,240272,0,0.00,0.00,0.0014,0,Upper Merced,18040008,18040008
CA,Exeter Solar,58306,California Independent System Operator,CISO,167909560,36.2675,-119.128581,SUN,SOLAR,6736,0,0.01,0.00,0.0000,51,Upper Tule,18030006,18030006
CA,Expressway Solar A,58761,California Independent System Operator,CISO,167909560,34.582222,-117.341667,SUN,SOLAR,4934,0,0.01,0.00,0.0000,37,Mojave,18090208,18090208
CA,Expressway Solar B,58762,California Independent System Operator,CISO,167909560,34.583333,-117.340278,SUN,SOLAR,4358,0,0.01,0.00,0.0000,33,Mojave,18090208,18090208
CA,Expressway Solar C2,58763,California Independent System Operator,CISO,167909560,34.584444,-117.341389,SUN,SOLAR,3713,0,0.01,0.00,0.0000,28,Mojave,18090208,18090208
CA,FAA NorCal TRACON,58261,Balancing Authority of Northern California,BANC,7971045,38.559533,-121.257556,SUN,SOLAR,1630,0,0.01,0.00,0.0002,12,Cache Slough-Sacramento River,18020163,18020163
CA,Fairhaven Power,10052,California Independent System Operator,CISO,167909560,40.7995,-124.2028,WDS,BIOMASS,39619,4473,1.94,0.11,0.0002,76764,Mad-Redwood,18010102,18010102
CA,Fall Creek,296,PacifiCorp - West,PACW,10882398,41.985605,-122.360455,WAT,HYDRO,3931,0,0.00,0.00,0.0004,0,Upper Klamath,18010206,18010206
CA,Farmersville,59203,California Independent System Operator,CISO,167909560,36.19,-119.12,SUN,SOLAR,7976,0,0.01,0.00,0.0000,61,Upper Tule,18030006,18030006
CA,Feather River Energy Center,55847,California Independent System Operator,CISO,167909560,39.109344,-121.60931,NG,GAS,33113,24276,0.80,0.73,0.0002,26392,Honcut Creek-Lower Feather River,18020159,18020159
CA,Five Points Solar Park,59523,California Independent System Operator,CISO,167909560,36.386944,-120.236667,SUN,SOLAR,162129,0,0.01,0.00,0.0010,1232,Upper Dry,18030009,18030009
CA,Five Points Solar Station,57498,California Independent System Operator,CISO,167909560,36.400278,-120.103333,SUN,SOLAR,28699,0,0.01,0.00,0.0002,218,Upper Dry,18030009,18030009
CA,Folsom,441,Western Area Power Administration - Desert Southwest Region,WALC,16128479,38.70675,-121.158443,WAT,HYDRO,583368,0,73.35,0.00,0.0362,42789091,Lower American,18020111,18020111
CA,Fontana,332,California Independent System Operator,CISO,167909560,34.155162,-117.397119,WAT,HYDRO,2545,0,0.00,0.00,0.0000,0,Santa Ana,18070203,18070203
CA,Foothill Feeder,6645,California Independent System Operator,CISO,167909560,34.5148,-118.6092,WAT,HYDRO,48539,0,0.00,0.00,0.0003,0,Santa Clara,18070102,18070102
CA,Forbestown,417,California Independent System Operator,CISO,167909560,39.551012,-121.278784,WAT,HYDRO,84275,0,0.44,0.00,0.0005,37343,Middle Fork Feather,18020123,18020123
CA,"Forever 21 Retail, Inc.",59651,Los Angeles Department of Water and Power,LDWP,22074071,34.071389,-118.196111,SUN,SOLAR,1560,0,0.01,0.00,0.0001,12,Los Angeles,18070105,18070105
CA,Forks of Butte Hydro Project,50350,California Independent System Operator,CISO,167909560,39.869284,-121.631865,WAT,HYDRO,29769,0,0.00,0.00,0.0002,0,Butte Creek,18020158,18020158
CA,Foster Wheeler Martinez,10342,California Independent System Operator,CISO,167909560,38.0244,-122.0589,NG,GAS,673306,233510,0.80,0.35,0.0040,536642,Suisun Bay,18050001,18050001
CA,Foundation AB,57791,California Independent System Operator,CISO,167909560,38.232222,-122.092778,WND,WIND,2581,0,0.00,0.00,0.0000,10,Suisun Bay,18050001,18050001
CA,Foundation California Training Facility,61442,California Independent System Operator,CISO,167909560,36.464,-121.382,WND,WIND,1146,0,0.00,0.00,0.0000,4,Salinas,18060005,18060005
CA,Foundation CDCR LAC,61066,California Independent System Operator,CISO,167909560,34.691,-118.221,WND,WIND,4268,0,0.00,0.00,0.0000,16,Antelope-Fremont Valleys,18090206,18090206
CA,Foundation Cemex BMQ,58102,California Independent System Operator,CISO,167909560,34.623056,-117.1125,WND,WIND,3293,0,0.00,0.00,0.0000,13,Mojave,18090208,18090208
CA,Foundation Cemex Madison,58112,California Independent System Operator,CISO,167909560,38.692778,-121.9325,WND,WIND,1701,0,0.00,0.00,0.0000,6,Upper Cache,18020116,18020116
CA,Foundation Cemex River Plant,58101,California Independent System Operator,CISO,167909560,34.561944,-117.307222,WND,WIND,2939,0,0.00,0.00,0.0000,11,Mojave,18090208,18090208
CA,Foundation IE,57792,California Independent System Operator,CISO,167909560,34.084722,-117.529444,WND,WIND,395,0,0.00,0.00,0.0000,2,Santa Ana,18070203,18070203
CA,Foundation NWNA,58114,California Independent System Operator,CISO,167909560,33.914167,-116.749167,WND,WIND,12046,0,0.00,0.00,0.0001,46,Whitewater River,18100201,18100201
CA,Foundation RRM,58113,California Independent System Operator,CISO,167909560,33.917222,-116.815,WND,WIND,9589,0,0.00,0.00,0.0001,36,Whitewater River,18100201,18100201
CA,Foundation SaIinas Valley State Prison,61444,California Independent System Operator,CISO,167909560,36.474,-121.371,WND,WIND,767,0,0.00,0.00,0.0000,3,Salinas,18060005,18060005
CA,Foundation Scheid Vineyards,61067,California Independent System Operator,CISO,167909560,36.274508,-121.191589,WND,WIND,3812,0,0.00,0.00,0.0000,14,Salinas,18060005,18060005
CA,Foundation ST,57626,California Independent System Operator,CISO,167909560,37.714167,-121.521666,WND,WIND,2662,0,0.00,0.00,0.0000,10,San Joaquin Delta,18040003,18040003
CA,Foundation Superior Farms,58104,California Independent System Operator,CISO,167909560,38.42,-121.818056,WND,WIND,1592,0,0.00,0.00,0.0000,6,Cache Slough-Sacramento River,18020163,18020163
CA,Foundation Wal-Mart Red Bluff,58105,California Independent System Operator,CISO,167909560,40.111111,-122.193889,WND,WIND,1638,0,0.00,0.00,0.0000,6,Thomes Creek-Sacramento River,18020156,18020156
CA,FPL Energy Montezuma Winds LLC,57201,California Independent System Operator,CISO,167909560,38.163581,-121.79661,WND,WIND,98264,0,0.00,0.00,0.0006,373,Cache Slough-Sacramento River,18020163,18020163
CA,Francisco St. Solar,62287,Los Angeles Department of Water and Power,LDWP,22074071,33.8482,-118.3055,SUN,SOLAR,62,0,0.01,0.00,0.0000,0,Santa Monica Bay,18070104,18070104
CA,Frankenheimer Power Plant,50219,California Independent System Operator,CISO,167909560,37.830378,-120.806972,WAT,HYDRO,11587,0,0.00,0.00,0.0001,0,Rock Creek-French Camp Slough,18040051,18040051
CA,Franklin Templeton San Mateo,57809,California Independent System Operator,CISO,167909560,37.5425,-122.292778,NG,GAS,7098,0,0.80,0.00,0.0000,5657,San Francisco Bay,18050004,18050004
CA,Freeway Springs,60183,California Independent System Operator,CISO,167909560,33.892614,-118.037564,SUN,SOLAR,3381,0,0.01,0.00,0.0000,26,San Gabriel,18070106,18070106
CA,French Meadows,424,California Independent System Operator,CISO,167909560,39.077971,-120.406069,WAT,HYDRO,38058,0,0.68,0.00,0.0002,25984,North Fork American,18020128,18020128
CA,"Fresno Cogeneration Partners, LP",10156,California Independent System Operator,CISO,167909560,36.617022,-120.099846,NG,GAS,5887,802,0.80,0.14,0.0000,4692,Upper Dry,18030009,18030009
CA,Fresno Solar,60083,California Independent System Operator,CISO,167909560,36.616846,-120.105144,SUN,SOLAR,6226,0,0.01,0.00,0.0000,47,Upper Dry,18030009,18030009
CA,Friant Hydro Facility,50393,California Independent System Operator,CISO,167909560,36.997694,-119.703451,WAT,HYDRO,125902,0,0.00,0.00,0.0007,0,Middle San Joaquin-Lower Chowchilla,18040001,18040001
CA,Frito-Lay Cogen Plant,10110,California Independent System Operator,CISO,167909560,35.395063,-119.321633,NG,GAS,26593,10967,0.80,0.41,0.0002,21195,Tulare-Buena Vista Lakes,18030012,18030012
CA,Frontier HS Solar Project,62275,California Independent System Operator,CISO,167909560,35.41824,-119.14888,SUN,SOLAR,70,0,0.01,0.00,0.0000,1,Tulare-Buena Vista Lakes,18030012,18030012
CA,Frontier Solar LLC,60039,California Independent System Operator,CISO,167909560,37.379919,-121.130661,SUN,SOLAR,53191,0,0.01,0.00,0.0003,404,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,18040002
CA,FRV SI Transport Solar LP,57506,California Independent System Operator,CISO,167909560,38.4869,-121.3911,SUN,SOLAR,1625,0,0.01,0.00,0.0000,12,Cache Slough-Sacramento River,18020163,18020163
CA,Fullerton Mill CHP,58083,California Independent System Operator,CISO,167909560,33.861667,-117.893056,NG,GAS,75513,25235,0.80,0.33,0.0004,60186,San Gabriel,18070106,18070106
CA,G2 Energy Hay Rd,58320,California Independent System Operator,CISO,167909560,38.314722,-121.833611,LFG,BIOMASS,12912,0,1.94,0.00,0.0001,25018,Cache Slough-Sacramento River,18020163,18020163
CA,G2 Energy Ostrom Road LLC,57133,California Independent System Operator,CISO,167909560,39.0728,-121.3992,LFG,BIOMASS,26889,0,1.94,0.00,0.0002,52099,Upper Bear,18020126,18020126
CA,Gap Pacific Distribution Center,56909,California Independent System Operator,CISO,167909560,36.7839,-119.7094,SUN,SOLAR,1906,0,0.01,0.00,0.0000,14,Upper Dry,18030009,18030009
CA,Garnet Solar Generation Station I LLC,58528,California Independent System Operator,CISO,167909560,33.8906,-116.5431,SUN,SOLAR,8410,0,0.01,0.00,0.0001,64,Whitewater River,18100201,18100201
CA,Garnet Wind Energy Center,57302,California Independent System Operator,CISO,167909560,33.9053,-116.5825,WND,WIND,15862,0,0.00,0.00,0.0001,60,Whitewater River,18100201,18100201
CA,Gas Utilization Facility,50492,California Independent System Operator,CISO,167909560,32.679172,-117.246698,OBG,BIOMASS,16293,8,1.94,0.00,0.0001,31569,San Diego,18070304,18070304
CA,Gates Solar Station,57892,California Independent System Operator,CISO,167909560,36.176389,-120.114167,SUN,SOLAR,43311,0,0.01,0.00,0.0003,329,Tulare-Buena Vista Lakes,18030012,18030012
CA,Gateway Generating Station,56476,California Independent System Operator,CISO,167909560,38.0175,-121.7587,NG,GAS,2929751,1282807,0.80,0.44,0.0174,2335088,San Joaquin Delta,18040003,18040003
CA,Gavilan District College Solar Project,61993,California Independent System Operator,CISO,167909560,37.003832,-121.593567,SUN,SOLAR,350,0,0.01,0.00,0.0000,3,Pajaro,18060002,18060002
CA,GE - Tehachapi,57566,California Independent System Operator,CISO,167909560,35.155278,-118.369444,WND,WIND,3879,0,0.00,0.00,0.0000,15,Antelope-Fremont Valleys,18090206,18090206
CA,Genentech Vacaville Meter #1,60844,California Independent System Operator,CISO,167909560,38.390756,-121.94777,SUN,SOLAR,13088,0,0.01,0.00,0.0001,99,Cache Slough-Sacramento River,18020163,18020163
CA,Genentech-Oceanside,60231,California Independent System Operator,CISO,167909560,33.211095,-117.299593,SUN,SOLAR,7149,0,0.01,0.00,0.0000,54,San Luis Rey-Escondido,18070303,18070303
CA,Genesis Solar Energy Project,57394,California Independent System Operator,CISO,167909560,33.665,-114.998055,SUN,SOLAR,623142,0,0.01,0.00,0.0037,4736,Southern Mojave,18100100,18100100
CA,Geo East Mesa III,10763,Imperial Irrigation District,IID,5728178,32.7757,-115.2637,GEO,GEOTHERMAL,97553,7821,2.64,0.08,0.0170,257540,Salton Sea,18100204,18100204
CA,Geothermal 1,7368,California Independent System Operator,CISO,167909560,38.752,-122.7195,GEO,GEOTHERMAL,433936,51487,2.64,0.12,0.0026,1145591,Russian,18010110,18010110
CA,Geothermal 2,7369,California Independent System Operator,CISO,167909560,38.7492,-122.7117,GEO,GEOTHERMAL,352294,41800,2.64,0.12,0.0021,930056,Russian,18010110,18010110
CA,Geysers Unit 5-20,286,California Independent System Operator,CISO,167909560,38.777,-122.745,GEO,GEOTHERMAL,4674308,554614,2.64,0.12,0.0278,12340173,Russian,18010110,18010110
CA,Gianera,7231,California Independent System Operator,CISO,167909560,37.401,-121.96867,NG,GAS,8019,6861,0.80,0.86,0.0000,6391,Coyote,18050003,18050003
CA,Giffen,57521,California Independent System Operator,CISO,167909560,36.530278,-120.316111,SUN,SOLAR,18948,0,0.01,0.00,0.0001,144,Upper Dry,18030009,18030009
CA,Giffen Solar Park,59522,California Independent System Operator,CISO,167909560,36.544722,-120.316111,SUN,SOLAR,36960,0,0.01,0.00,0.0002,281,Upper Dry,18030009,18030009
CA,"Gilroy Energy Center, LLC",55810,California Independent System Operator,CISO,167909560,36.999,-121.5363,NG,GAS,25659,18039,0.80,0.70,0.0002,20451,Pajaro,18060002,18060002
CA,Glenarm,422,California Independent System Operator,CISO,167909560,34.126,-118.1494,NG,GAS,107233,46680,0.80,0.44,0.0006,85468,Los Angeles,18070105,18070105
CA,Glendale Battery Energy Storage System,60974,Los Angeles Department of Water and Power,LDWP,22074071,34.162327,-118.283684,MWH,OTHF,90,0,1.61,0.00,0.0000,145,Los Angeles,18070105,18070105
CA,Goal Line,54749,California Independent System Operator,CISO,167909560,33.1185,-117.0995,NG,GAS,18142,7985,0.80,0.44,0.0001,14460,San Luis Rey-Escondido,18070303,18070303
CA,Golden Acorn Casino,59328,California Independent System Operator,CISO,167909560,32.702107,-116.354587,WND,WIND,4112,0,0.00,0.00,0.0000,16,Cottonwood-Tijuana,18070305,18070305
CA,"Golden Fields Solar I, LLC",60590,California Independent System Operator,CISO,167909560,34.839012,-118.386843,SUN,SOLAR,152651,0,0.01,0.00,0.0009,1160,Antelope-Fremont Valleys,18090206,18090206
CA,Golden Hills North Wind Energy Center,61222,California Independent System Operator,CISO,167909560,37.769189,-121.630163,WND,WIND,181456,0,0.00,0.00,0.0011,690,San Joaquin Delta,18040003,18040003
CA,Golden Hills Wind,60049,California Independent System Operator,CISO,167909560,37.713311,-121.640353,WND,WIND,306466,0,0.00,0.00,0.0018,1165,San Joaquin Delta,18040003,18040003
CA,Golden Springs Building C-1,57796,California Independent System Operator,CISO,167909560,33.914167,-118.053611,SUN,SOLAR,1796,0,0.01,0.00,0.0000,14,San Gabriel,18070106,18070106
CA,Golden Springs Building D,57797,California Independent System Operator,CISO,167909560,33.911944,-118.052222,SUN,SOLAR,1938,0,0.01,0.00,0.0000,15,San Gabriel,18070106,18070106
CA,Goose Haven Energy Center,55627,California Independent System Operator,CISO,167909560,38.226752,-121.843271,NG,GAS,12447,8973,0.80,0.72,0.0001,9921,Cache Slough-Sacramento River,18020163,18020163
CA,Gosselin Hydro Plant,10128,California Independent System Operator,CISO,167909560,40.37,-123.4347,WAT,HYDRO,4557,0,0.00,0.00,0.0000,0,Mad-Redwood,18010102,18010102
CA,GPS Cabazon Wind LLC,50552,California Independent System Operator,CISO,167909560,33.914986,-116.71026,WND,WIND,63695,0,0.00,0.00,0.0004,242,Whitewater River,18100201,18100201
CA,Granger,60516,California Independent System Operator,CISO,167909560,33.2704,-117.0588,SUN,SOLAR,7748,0,0.01,0.00,0.0000,59,San Luis Rey-Escondido,18070303,18070303
CA,Grapeland Generating Station,56472,California Independent System Operator,CISO,167909560,34.0903,-117.5343,NG,GAS,9892,7545,0.80,0.76,0.0001,7884,Santa Ana,18070203,18070203
CA,Grassland 1&2 Solar Project,58217,California Independent System Operator,CISO,167909560,38.500278,-121.694167,SUN,SOLAR,4746,0,0.01,0.00,0.0000,36,Cache Slough-Sacramento River,18020163,18020163
CA,Grassland 3&4 Solar Project,58204,California Independent System Operator,CISO,167909560,38.500278,-121.694167,SUN,SOLAR,4737,0,0.01,0.00,0.0000,36,Cache Slough-Sacramento River,18020163,18020163
CA,Grayson Power Plant,377,Los Angeles Department of Water and Power,LDWP,22074071,34.1556,-118.2782,NG,GAS,140780,104281,0.80,0.74,0.0064,112205,Los Angeles,18070105,18070105
CA,"Great Valley Solar Portfolio Holdings, LLC",59940,California Independent System Operator,CISO,167909560,36.581182,-120.37957,SUN,SOLAR,532455,0,0.01,0.00,0.0032,4047,Upper Dry,18030009,18030009
CA,Green Acres Solar Facility 1,57849,Balancing Authority of Northern California,BANC,7971045,38.282021,-121.464676,SUN,SOLAR,6354,0,0.01,0.00,0.0008,48,Upper Mokelumne,18040012,18040012
CA,Green Acres Solar Facility 2,57850,Balancing Authority of Northern California,BANC,7971045,38.28357,-121.461264,SUN,SOLAR,2171,0,0.01,0.00,0.0003,16,Upper Mokelumne,18040012,18040012
CA,Green Beanworks B PV,61339,California Independent System Operator,CISO,167909560,34.688042,-117.989541,SUN,SOLAR,45,0,0.01,0.00,0.0000,0,Antelope-Fremont Valleys,18090206,18090206
CA,Green Beanworks C PV,61215,California Independent System Operator,CISO,167909560,34.597,-117.931,SUN,SOLAR,2654,0,0.01,0.00,0.0000,20,Antelope-Fremont Valleys,18090206,18090206
CA,Green Beanworks D PV,61216,California Independent System Operator,CISO,167909560,34.654976,-118.08215,SUN,SOLAR,2428,0,0.01,0.00,0.0000,18,Antelope-Fremont Valleys,18090206,18090206
CA,Green Power I,55396,California Independent System Operator,CISO,167909560,33.9014,-116.7167,WND,WIND,16676,0,0.00,0.00,0.0001,63,Whitewater River,18100201,18100201
CA,Greenleaf One,10350,California Independent System Operator,CISO,167909560,39.052922,-121.696072,NG,GAS,67014,27135,0.80,0.40,0.0004,53412,Honcut Creek-Lower Feather River,18020159,18020159
CA,Gridley Main,58370,California Independent System Operator,CISO,167909560,39.373333,-121.684167,SUN,SOLAR,1957,0,0.01,0.00,0.0000,15,Butte Creek,18020158,18020158
CA,Gridley Main Two,58371,California Independent System Operator,CISO,167909560,39.373333,-121.681667,SUN,SOLAR,3862,0,0.01,0.00,0.0000,29,Butte Creek,18020158,18020158
CA,Grizzly,7338,California Independent System Operator,CISO,167909560,39.889287,-121.279173,WAT,HYDRO,19337,0,2.49,0.00,0.0001,48105,North Fork Feather,18020121,18020121
CA,Grossmont Hospital,10115,California Independent System Operator,CISO,167909560,32.77973,-117.006397,NG,GAS,29556,9886,0.80,0.33,0.0002,23557,San Diego,18070304,18070304
CA,Guadalupe Solar Farm,62690,California Independent System Operator,CISO,167909560,37.269039,-121.861079,SUN,SOLAR,1669,0,0.01,0.00,0.0000,13,Coyote,18050003,18050003
CA,Guernsey Solar Station,57891,California Independent System Operator,CISO,167909560,36.163889,-119.650556,SUN,SOLAR,43717,0,0.01,0.00,0.0003,332,Tulare-Buena Vista Lakes,18030012,18030012
CA,H. Gonzales,56039,California Independent System Operator,CISO,167909560,33.9986,-118.2219,NG,GAS,3994,3224,0.80,0.81,0.0000,3183,Los Angeles,18070105,18070105
CA,Haas,240,California Independent System Operator,CISO,167909560,36.927424,-119.02025,WAT,HYDRO,361336,0,6.83,0.00,0.0022,2466819,Upper King,18030010,18030010
CA,Haiwee,398,Los Angeles Department of Water and Power,LDWP,22074071,36.109722,-117.956667,WAT,HYDRO,512,0,0.00,0.00,0.0000,0,Indian Wells-Searles Valleys,18090205,18090205
CA,Halsey,241,California Independent System Operator,CISO,167909560,38.956985,-121.041932,WAT,HYDRO,38014,0,1.60,0.00,0.0002,61003,Auburn Ravine-Coon Creek,18020161,18020161
CA,Hamilton Branch,242,California Independent System Operator,CISO,167909560,40.268712,-121.089479,WAT,HYDRO,4508,0,3910.72,0.00,0.0000,17629514,North Fork Feather,18020121,18020121
