Plant state,Plant name,Plant Id,Balancing Authority Name,Balancing Authority Code,PCA Generation (MWh),Latitude,Longitude,Plant primary fuel,Plant primary fuel code,Net generation (MWh),CO2-e Emission (tons),Water intensity (m3/MWh),Carbon intensity (Tons/MWh),Generation Ratio of Power plant,Water Consumption (m3),Subbasin,HUC8,HUC8 ID
AR,Lake Catherine,170,"Midcontinent Independent Transmission System Operator, Inc..",MISO,688643622,34.4341,-92.9049,NG,GAS,289084,209768,0.80,0.73,0.0004,230408,Ouachita Headwaters,08040101,8040101
AR,Magnet Cove Generating Station,55714,"Midcontinent Independent Transmission System Operator, Inc..",MISO,688643622,34.4297,-92.8317,NG,GAS,1834885,771587,0.87,0.42,0.0027,1597641,Upper Ouachita,08040102,8040102
AR,McClellan,203,"Midcontinent Independent Transmission System Operator, Inc..",MISO,688643622,33.5648,-92.7917,NG,GAS,61046,46380,0.80,0.76,0.0001,48655,Upper Ouachita,08040102,8040102
AR,Murray,7166,"Midcontinent Independent Transmission System Operator, Inc..",MISO,688643622,34.7956,-92.3569,WAT,HYDRO,39862,0,0.00,0.00,0.0001,0,Lower Arkansas-Maumelle,11110207,11110207
AR,Narrows (AR),195,Southwest Power Pool,SWPP,272470850,34.148427,-93.715168,WAT,HYDRO,20641,0,0.00,0.00,0.0001,0,Little Missouri,08040103,8040103
AR,Norfork,196,Southwestern Power Administration,SPA,7169461,36.2491,-92.2401,WAT,HYDRO,159631,0,0.00,0.00,0.0223,0,North Fork White,11010006,11010006
AR,Oswald Generating Station,55221,"Midcontinent Independent Transmission System Operator, Inc..",MISO,688643622,34.5923,-92.2166,NG,GAS,522540,260305,3.21,0.50,0.0008,1675578,Lower Arkansas-Maumelle,11110207,11110207
AR,Ozark,6142,Southwestern Power Administration,SPA,7169461,35.4693,-93.8175,WAT,HYDRO,214488,0,0.00,0.00,0.0299,0,Dardanelle Reservoir,11110202,11110202
AR,Ozarks Natural Energy Community Solar,60924,Southwest Power Pool,SWPP,272470850,36.164296,-94.082269,SUN,SOLAR,1519,0,0.01,0.00,0.0000,12,Illinois,11110103,11110103
AR,Paragould Reciprocating,8015,Southwestern Power Administration,SPA,7169461,36.0242,-90.5094,NG,GAS,512,299,0.80,0.58,0.0001,408,Lower St. Francis,08020203,8020203
AR,Paragould Turbine,7283,Southwestern Power Administration,SPA,7169461,36.024272,-90.509229,NG,GAS,47,38,0.80,0.81,0.0000,37,Lower St. Francis,08020203,8020203
AR,Pine Bluff Energy Center,55075,"Midcontinent Independent Transmission System Operator, Inc..",MISO,688643622,34.2181,-91.9025,NG,GAS,1305210,434608,0.80,0.33,0.0019,1040287,Bayou Bartholomew,08040205,8040205
AR,Pine Bluff Mill,10627,"Midcontinent Independent Transmission System Operator, Inc..",MISO,688643622,34.221213,-91.907365,BLQ,BIOMASS,393616,11773,1.94,0.03,0.0006,762651,Bayou Bartholomew,08040205,8040205
AR,Plum Point Energy Station,56456,"Midcontinent Independent Transmission System Operator, Inc..",MISO,688643622,35.6644,-89.9489,SUB,COAL,5202634,5713179,1.78,1.10,0.0076,9238289,Lower St. Francis,08020203,8020203
AR,Remmel,174,"Midcontinent Independent Transmission System Operator, Inc..",MISO,688643622,34.4272,-92.8941,WAT,HYDRO,38312,0,0.00,0.00,0.0001,0,Upper Ouachita,08040102,8040102
AR,Riceland Foods Cogeneration Plant,56079,"Midcontinent Independent Transmission System Operator, Inc..",MISO,688643622,34.5136,-91.5331,OBS,BIOMASS,20299,276,1.94,0.01,0.0000,39330,Lower White,08020303,8020303
AR,Scenic Hill Solar III,61869,Southwestern Power Administration,SPA,7169461,35.46715,-93.51517,SUN,SOLAR,10497,0,0.01,0.00,0.0015,80,Dardanelle Reservoir,11110202,11110202
AR,SR Camden,59947,Southwestern Power Administration,SPA,7169461,33.631538,-92.703611,SUN,SOLAR,26923,0,0.01,0.00,0.0038,205,Lower Ouachita-Smackover,08040201,8040201
AR,Stuttgart Solar,61262,"Midcontinent Independent Transmission System Operator, Inc..",MISO,688643622,34.439722,-91.44,SUN,SOLAR,162934,0,0.01,0.00,0.0002,1238,Lower White,08020303,8020303
AR,Thomas Fitzhugh,201,Southwest Power Pool,SWPP,272470850,35.462382,-93.804926,NG,GAS,272862,151306,0.80,0.55,0.0010,217478,Dardanelle Reservoir,11110202,11110202
AR,Two Pine Landfill Gas Recovery,56523,"Midcontinent Independent Transmission System Operator, Inc..",MISO,688643622,34.8332,-92.157103,LFG,BIOMASS,15892,0,1.94,0.00,0.0000,30792,Bayou Meto,08020402,8020402
AR,UA Central Utility Plant,60536,Southwest Power Pool,SWPP,272470850,36.066336,-94.172254,NG,GAS,37894,24148,0.80,0.64,0.0001,30203,Beaver Reservoir,11010001,11010001
AR,Union Power Station,55380,"Midcontinent Independent Transmission System Operator, Inc..",MISO,688643622,33.296146,-92.589364,NG,GAS,10305177,4007203,0.86,0.39,0.0150,8887220,Lower Ouachita-Smackover,08040201,8040201
AR,Waste Management Eco Vista LFGTE,57025,"Midcontinent Independent Transmission System Operator, Inc..",MISO,688643622,36.140849,-94.259713,LFG,BIOMASS,33183,0,1.94,0.00,0.0000,64294,Illinois,11110103,11110103
AR,Whillock,7135,"Midcontinent Independent Transmission System Operator, Inc..",MISO,688643622,35.127591,-92.790273,WAT,HYDRO,162795,0,0.00,0.00,0.0002,0,Lake Conway-Point Remove,11110203,11110203
AR,White Bluff,6009,"Midcontinent Independent Transmission System Operator, Inc..",MISO,688643622,34.4228,-92.1406,SUB,COAL,8251967,9321789,1.93,1.13,0.0120,15950649,Lower Arkansas-Maumelle,11110207,11110207
AR,White River Lock and Dam 1,57160,Southwestern Power Administration,SPA,7169461,35.757401,-91.636887,WAT,HYDRO,16525,0,383.11,0.00,0.0023,6330968,Middle White,11010004,11010004
AR,White River Lock and Dam 2,57161,Southwestern Power Administration,SPA,7169461,35.744036,-91.765418,WAT,HYDRO,15785,0,388.80,0.00,0.0022,6137261,Middle White,11010004,11010004
AR,White River Lock and Dam 3,57162,Southwestern Power Administration,SPA,7169461,35.84361,-91.850521,WAT,HYDRO,17320,0,327.94,0.00,0.0024,5679845,Middle White,11010004,11010004
AZ,Actus Lend Lease DMAFB,58632,Tucson Electric Power Company,TEPC,12326506,32.1825,-110.863333,SUN,SOLAR,4023,0,0.01,0.00,0.0003,31,Upper Santa Cruz,15050301,15050301
AZ,Agua Caliente Solar Project,57373,California Independent System Operator,CISO,167909560,32.9774,-113.4945,SUN,SOLAR,723324,0,0.01,0.00,0.0043,5497,Lower Gila,15070201,15070201
AZ,Agua Fria Generating Station,141,Salt River Project,SRP,67680176,33.5561,-112.2153,NG,GAS,148612,107713,15.85,0.72,0.0022,2356166,Aqua Fria,15070102,15070102
AZ,Amphitheater High School Solar,60684,Tucson Electric Power Company,TEPC,12326506,32.269,-110.975,SUN,SOLAR,2254,0,0.01,0.00,0.0002,17,Upper Santa Cruz,15050301,15050301
AZ,Apache Solar 1,60964,Western Area Power Administration - Desert Southwest Region,WALC,16128479,32.068141,-109.890379,SUN,SOLAR,49911,0,0.01,0.00,0.0031,379,Willcox Playa,15050201,15050201
AZ,Apache Station,160,Western Area Power Administration - Desert Southwest Region,WALC,16128479,32.0603,-109.8931,NG,GAS,1773343,1577601,1.40,0.89,0.1100,2478084,Willcox Playa,15050201,15050201
AZ,APS Saguaro Power Plant,118,Arizona Public Service Company,AZPS,17517674,32.5517,-111.3,NG,GAS,109365,53318,0.80,0.49,0.0062,87167,Lower Santa Cruz,15050303,15050303
AZ,APS West Phoenix Power Plant,117,Arizona Public Service Company,AZPS,17517674,33.4417,-112.1583,NG,GAS,2984982,1067939,1.29,0.36,0.1704,3849468,Lower Salt,15060106,15060106
